PROJECT_ID,SAMPLE_ID,INCLUDE,BLANK_OR_CONTROL,ENRICHMENT,ENV_BIOME,ENV_FEATURE,ENV_MATERIAL,LATITUDE,LONGITUDE,PH,TEMPERATURE
DCO_SWIR,RS_649_24A1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8414,64.5882,null,null
DCO_SWIR,RS_649_24A2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8414,64.5882,null,null
DCO_SWIR,RS_649_24B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8414,64.5882,null,null
DCO_SWIR,RS_649_24B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8414,64.5882,null,null
DCO_SYL,1374_20R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1374_27R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1374_31R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1374_38R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1374_68R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1374_8R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-28.596,-173.381,null,null
DCO_SYL,1376_04R_Bac,TRUE,FALSE,FALSE,"marine biome",borehole,rock,-32.217,-171.881,null,null
DCO_TAS,S1_10,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,1.3,37.2
DCO_TAS,S1_30,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,1.4,57.6
DCO_TAS,S2_10,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,1.5,42.9
DCO_TAS,S2_30,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,1.7,60.1
DCO_TAS,S3_10,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,2.2,26.3
DCO_TAS,S3_30,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,2,50.6
DCO_TAS,S4_10,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,2.8,10.5
DCO_TAS,S4_30,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,3.4,12.4
DCO_TAS,S5_10,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,3.4,14.4
DCO_TAS,S5_30,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,3.6,17.4
DCO_TAS,S6_,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,2.1,70
DCO_TAS,S7_,TRUE,FALSE,FALSE,"terrestrial biome",volcano,sediment,40.827049,14.141238,1.9,40
DCO_TASP,P02,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,6.28,90
DCO_TASP,P03,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.29,90
DCO_TASP,P04,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.24,70
DCO_TASP,P05,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.25,85
DCO_TASP,P10,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.27,65
DCO_TASP,P11,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,50
DCO_TASP,P11W,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,45
DCO_TASP,P36,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.25,85
DCO_TASP,P46,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.27,65
DCO_TASP,P56,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,50
DCO_TASP,P_3,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,45
DCO_TASP,P_6,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.07,40
DCO_TASP,P_7,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,35
DCO_TASP,P_8,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,2.08,30
DCO_TASP,P_9,TRUE,FALSE,FALSE,"terrestrial biome","hydrothermal vent",null,40.83,14.15,1.99,15
DCO_TCO,BE326FW250111BH2,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-28.24,26.8,8.8,36.9
DCO_TCO,BE326FW270712BH2,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-28.24,26.8,8.6,38.1
DCO_TCO,DR5IPCFW280711,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-26.42,27.5,7.4,26.8
DCO_TCO,FI88FW031012,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-28.38,23.45,6.8,28.9
DCO_TCO,MM51940FW200712,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-27.98,26.88,7.7,40.7
DCO_TCO,NO14FW130912,TRUE,FALSE,FALSE,"terrestrial biome","geological fracture",water,-24.83,27.34,8.5,65
DCO_TCO,TT109FW060312BH2,TRUE,FALSE,FALSE,"terrestrial biome",borehole,rock,-26.42,27.43,8.19,48.7
DCO_TIA2,A301GC,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A301MO,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A302MO,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A303GC,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A501GC,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A501MO,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A502GCA,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A502GCB,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A502MO,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_TIA2,A502MOB,TRUE,FALSE,FALSE,"terrestrial biome",aquifer,water,null,null,11.4,null
DCO_WOY,170123GSB2,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170123GSC1FL,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170124PF1,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170124PF1FL,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170126ML1,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170126ML1FL,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170127CC1,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170127ML2L,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170127ML2U,null,null,null,null,null,null,null,null,null,null
DCO_WOY,170127ML2UFL,null,null,null,null,null,null,null,null,null,null
